,ine_code,cities_es/province
2644,10144,casar_de_palomero/caceres
2645,10145,piedras_albas/caceres
2646,10146,pinofranqueado/caceres
2647,10146,caminomorisco/caceres
2649,10147,piornal/caceres
2650,10148,aldehuela_de_jerte/caceres
2651,10148,galisteo/caceres
2652,10148,plasencia/caceres
2653,10149,plasenzuela/caceres
2654,10150,portaje/caceres
2655,10151,portezuelo/caceres
2656,10152,pozuelo_de_zarzon/caceres
2657,10153,puerto_de_santa_cruz/caceres
2658,10154,rebollar/caceres
2660,10155,riolobos/caceres
2661,10155,canaveral/caceres
2662,10156,robledillo_de_gata/caceres
2663,10157,robledillo_de_la_vera/caceres
2664,10158,robledillo_de_trujillo/caceres
2665,10158,puerto_de_santa_cruz/caceres
2666,10159,robledollano/caceres
2667,10160,higuera/caceres
2668,10161,ruanes/caceres
2669,10162,salorino/caceres
2670,10163,ruanes/caceres
2671,10164,san_martin_de_trevejo/caceres
2672,10165,ruanes/caceres
2673,10166,santa_cruz_de_la_sierra/caceres
2674,10167,oliva_de_plasencia/caceres
2675,10167,santa_cruz_de_paniagua/caceres
2676,10168,santa_marta_de_magasca/caceres
2677,10169,santa_marta_de_magasca/caceres
2678,10169,santiago_de_alcantara/caceres
2679,10170,santiago_del_campo/caceres
2680,10171,santibanez_el_alto/caceres
2681,10172,aceituna/caceres
2682,10173,saucedilla/caceres
2683,10174,segura_de_toro/caceres
2684,10175,serradilla/caceres
2686,10176,serrejon/caceres
2687,10177,sierra_de_fuentes/caceres
2688,10178,talavan/caceres
2689,10179,talaveruela_de_la_vera/caceres
2690,10180,talayuela/caceres
2693,10181,tejeda_de_tietar/caceres
2694,10181,malpartida_de_plasencia/caceres
2695,10182,casatejada/caceres
2696,10182,herguijuela/caceres
2697,10182,toril/caceres
2698,10182,malpartida_de_plasencia/caceres
2699,10183,tornavacas/caceres
2700,10184,rebollar/caceres
2701,10185,torrecilla_de_los_angeles/caceres
2702,10186,torrecillas_de_la_tiesa/caceres
2703,10187,torre_de_don_miguel/caceres
2704,10188,torre_de_santa_maria/caceres
2705,10189,torrejoncillo/caceres
2707,10190,toril/caceres
2708,10191,torremenga/caceres
2709,10192,torremocha/caceres
2710,10193,torreorgaz/caceres
2711,10194,torrequemada/caceres
2712,10195,la_aldea_del_obispo/caceres
2713,10195,trujillo/caceres
2717,10196,valdastillas/caceres
2718,10197,campillo_de_deleitosa/caceres
2719,10197,valdecanas_de_tajo/caceres
2720,10198,montehermoso/caceres
2721,10198,valdefuentes/caceres
2722,10199,valdehuncar/caceres
2723,10200,valdecanas_de_tajo/caceres
2724,10201,valdemorales/caceres
2725,10202,valdeobispo/caceres
2726,10203,valencia_de_alcantara/caceres
2733,10204,valverde_de_la_vera/caceres
2734,10205,valverde_del_fresno/caceres
2735,10206,viandar_de_la_vera/caceres
2736,10207,villa_del_campo/caceres
2737,10208,villa_del_rey/caceres
2738,10209,villamesias/caceres
2739,10210,villamiel/caceres
2741,10211,torreorgaz/caceres
2742,10211,villanueva_de_la_sierra/caceres
2743,10212,villanueva_de_la_vera/caceres
2744,10212,valverde_de_la_vera/caceres
2745,10213,villar_del_pedroso/caceres
2746,10213,carrascalejo/caceres
2747,10214,villar_de_plasencia/caceres
2748,10215,villasbuenas_de_gata/caceres
2749,10216,montanchez/caceres
2750,10216,zarza_de_granadilla/caceres
2751,10217,ruanes/caceres
2753,10218,zarza_la_mayor/caceres
2754,10219,zorita/caceres
2755,10901,rosalejo/caceres
2757,10902,vegaviana/caceres
2758,10903,galisteo/caceres
2759,11001,alcala_de_los_gazules/cadiz
2760,11002,alcala_del_valle/cadiz
2761,11003,algar/cadiz
2762,11004,algeciras/cadiz
2771,11005,algodonales/cadiz
2773,11006,arcos_de_la_frontera/cadiz
2776,11007,barbate/cadiz
2780,11008,los_barrios/cadiz
2782,11009,benaocaz/cadiz
2783,11010,bornos/cadiz
2785,11011,el_bosque/cadiz
2786,11012,cadiz/cadiz
2798,11013,castellar_de_la_frontera/cadiz
2799,11014,conil_de_la_frontera/cadiz
2801,11015,chiclana_de_la_frontera/cadiz
2803,11016,chipiona/cadiz
2804,11017,espera/cadiz
2805,11018,el_gastor/cadiz
2806,11019,grazalema/cadiz
2808,11020,jerez_de_la_frontera/cadiz
2826,11021,jimena_de_la_frontera/cadiz
2830,11022,la_linea_de_la_concepcion/cadiz
2831,11023,medina_sidonia/cadiz
2833,11024,olvera/cadiz
2834,11025,paterna_de_rivera/cadiz
2835,11026,prado_del_rey/cadiz
2836,11027,el_puerto_de_santa_maria/cadiz
2837,11028,puerto_real/cadiz
2840,11029,puerto_serrano/cadiz
2841,11029,la_linea_de_la_concepcion/cadiz
2842,11030,rota/cadiz
2843,11031,san_fernando/cadiz
2844,11032,sanlucar_de_barrameda/cadiz
2848,11033,san_roque/cadiz
2852,11033,sanlucar_de_barrameda/cadiz
2856,11034,setenil_de_las_bodegas/cadiz
2857,11035,algeciras/cadiz
2858,11035,barbate/cadiz
2860,11035,tarifa/cadiz
2862,11036,torre_alhaquime/cadiz
2863,11037,trebujena/cadiz
2864,11038,ubrique/cadiz
2865,11039,barbate/cadiz
2866,11039,medina_sidonia/cadiz
2868,11039,vejer_de_la_frontera/cadiz
2869,11040,villaluenga_del_rosario/cadiz
2870,11041,villamartin/cadiz
2871,11042,zahara/cadiz
2872,11901,benalup_casas_viejas/cadiz
2873,11902,san_jose_del_valle/cadiz
2875,12001,atzeneta_del_maestrat/castellon
2877,12002,ain/castellon
2878,12003,albocasser/castellon
2879,12004,alcala_de_xivert/castellon
2881,12005,l'alcora/castellon
2884,12006,ain/castellon
2885,12007,alfondeguilla/castellon
2886,12008,algimia_de_almonacid/castellon
2887,12009,almassora/castellon
2888,12010,almedijar/castellon
2889,12011,almenara/castellon
2890,12012,altura/castellon
2891,12013,aranuel/castellon
2892,12014,ares_del_maestrat/castellon
2893,12015,argelita/castellon
2894,12016,artana/castellon
2895,12017,ayodar/castellon
2896,12018,azuebar/castellon
2897,12020,barracas/castellon
2898,12021,betxi/castellon
2899,12022,bejis/castellon
2900,12024,benafer/castellon
2901,12025,benafigos/castellon
2902,12026,benassal/castellon
2903,12027,benicarlo/castellon
2905,12028,benicasim/castellon
2906,12029,benlloch/castellon
2907,12031,borriol/castellon
2908,12032,benicarlo/castellon
2909,12033,cabanes/castellon
2913,12034,calig/castellon
2914,12036,canet_lo_roig/castellon
2915,12037,castell_de_cabres/castellon
2916,12038,castellfort/castellon
2917,12039,almedijar/castellon
2918,12040,castellon/castellon
2919,12040,benicasim/castellon
2926,12041,castillo_de_villamalefa/castellon
2927,12042,cati/castellon
2928,12043,caudiel/castellon
2929,12044,cervera_del_maestre/castellon
2930,12045,cinctorres/castellon
2931,12046,cirat/castellon
2932,12046,aranuel/castellon
2933,12048,cortes_de_arenoso/castellon
2935,12049,l'alcora/castellon
2936,12050,les_coves_de_vinroma/castellon
2937,12051,culla/castellon
2938,12052,xert/castellon
2940,12053,chilches/castellon
2942,12055,benafigos/castellon
2943,12056,chovar/castellon
2944,12057,eslida/castellon
2945,12058,argelita/castellon
2946,12059,argelita/castellon
2947,12060,figueroles/castellon
2948,12061,forcall/castellon
2949,12063,fuente_la_reina/castellon
2950,12064,fuentes_de_ayodar/castellon
2951,12065,gaibiel/castellon
2952,12067,geldo/castellon
2954,12068,herbes/castellon
2955,12069,benafer/castellon
2956,12070,la_jana/castellon
2957,12071,jerica/castellon
2958,12072,llucena/castellon
2959,12073,castillo_de_villamalefa/castellon
2960,12074,la_llosa/castellon
2961,12075,la_mata_de_morella/castellon
2962,12076,gaibiel/castellon
2963,12077,moncofa/castellon
2964,12078,montan/castellon
2965,12079,montanejos/castellon
2966,12080,morella/castellon
2967,12081,navajas/castellon
2968,12082,nules/castellon
2970,12083,la_mata_de_morella/castellon
2971,12084,onda/castellon
2973,12085,oropesa_del_mar/castellon
2974,12087,palanques/castellon
2975,12088,benafer/castellon
2976,12089,peniscola/castellon
2977,12090,pina_de_montalgrao/castellon
2978,12091,cinctorres/castellon
2979,12092,fuente_la_reina/castellon
2980,12093,la_pobla_de_benifassa/castellon
2981,12094,la_pobla_tornesa/castellon
2982,12095,ribesalbes/castellon
2983,12096,rossell/castellon
2984,12096,la_pobla_de_benifassa/castellon
2986,12097,sacanet/castellon
2987,12098,la_salzadella/castellon
2988,12099,sant_jordi/castellon
2989,12100,sant_mateu/castellon
2990,12101,san_rafael_del_rio/castellon
2992,12102,santa_magdalena_de_pulpis/castellon
2993,12103,la_serratella/castellon
2994,12104,segorbe/castellon
2995,12104,algimia_de_almonacid/castellon
2996,12104,geldo/castellon
2997,12105,sierra_engarceran/castellon
3001,12106,soneja/castellon
3002,12107,sot_de_ferrer/castellon
3003,12108,sueras/castellon
3004,12109,tales/castellon
3005,12110,sacanet/castellon
3006,12111,tirig/castellon
3007,12112,la_mata_de_morella/castellon
3008,12113,argelita/castellon
3009,12114,toras/castellon
3010,12115,pina_de_montalgrao/castellon
3011,12116,fuentes_de_ayodar/castellon
3012,12117,torreblanca/castellon
3013,12118,aranuel/castellon
3014,12119,la_torre_d'en_besora/castellon
3015,12120,la_serratella/castellon
3016,12121,san_rafael_del_rio/castellon
3017,12122,useras/castellon
3019,12122,figueroles/castellon
3020,12123,argelita/castellon
3021,12124,sierra_engarceran/castellon
3022,12124,vall_d'alba/castellon
3023,12125,algimia_de_almonacid/castellon
3024,12126,la_vall_d'uixo/castellon
3025,12127,vallibona/castellon
3026,12128,vilafames/castellon
3027,12129,villafranca_del_cid/castellon
3028,12130,villahermosa_del_rio/castellon
3029,12131,ayodar/castellon
3030,12132,vilanova_d'alcolea/castellon
3031,12133,fuente_la_reina/castellon
3032,12134,vilar_de_canes/castellon
3033,12135,vila_real/castellon
3034,12136,la_vilavella/castellon
3035,12137,palanques/castellon
3036,12138,vinaros/castellon
3037,12139,geldo/castellon
3038,12140,viver/castellon
3039,12140,sacanet/castellon
3040,12141,palanques/castellon
3041,12142,zucaina/castellon
3042,12901,les_alqueries/castellon
3043,12902,sant_joan_de_moro/castellon
3044,13001,abenojar/ciudad_real
3046,13002,agudo/ciudad_real
3047,13003,alamillo/ciudad_real
3048,13004,albaladejo/ciudad_real
3049,13005,alcazar_de_san_juan/ciudad_real
3053,13006,alcoba/ciudad_real
3055,13007,alcolea_de_calatrava/ciudad_real
3056,13008,alcubillas/ciudad_real
3057,13009,aldea_del_rey/ciudad_real
3058,13010,alhambra/ciudad_real
3060,13011,almaden/ciudad_real
3061,13012,almadenejos/ciudad_real
3063,13013,almagro/ciudad_real
3065,13014,almedina/ciudad_real
3066,13015,abenojar/ciudad_real
3067,13015,almodovar_del_campo/ciudad_real
3070,13015,almodovar_del_campo/cordoba
3078,13016,almuradiel/ciudad_real
3080,13017,anchuras/ciudad_real
3082,13018,arenas_de_san_juan/ciudad_real
3083,13019,argamasilla_de_alba/ciudad_real
3084,13020,argamasilla_de_calatrava/ciudad_real
3085,13021,arroba_de_los_montes/ciudad_real
3086,13022,ballesteros_de_calatrava/ciudad_real
3087,13023,almagro/ciudad_real
3089,13024,brazatortas/ciudad_real
3090,13025,almodovar_del_campo/ciudad_real
3091,13026,cabezarrubias_del_puerto/ciudad_real
3092,13027,calzada_de_calatrava/ciudad_real
3095,13028,campo_de_criptana/ciudad_real
3096,13029,canada_de_calatrava/ciudad_real
3097,13030,caracuel_de_calatrava/ciudad_real
3098,13031,carrion_de_calatrava/ciudad_real
3099,13032,carrizosa/ciudad_real
3100,13033,castellar_de_santiago/ciudad_real
3102,13034,ciudad_real/ciudad_real
3110,13035,corral_de_calatrava/ciudad_real
3111,13036,los_cortijos/ciudad_real
3112,13037,cozar/ciudad_real
3113,13038,chillon/ciudad_real
3114,13039,daimiel/ciudad_real
3115,13040,fernan_caballero/ciudad_real
3116,13041,arroba_de_los_montes/ciudad_real
3117,13042,fuencaliente/ciudad_real
3118,13043,fuenllana/ciudad_real
3119,13044,fuente_el_fresno/ciudad_real
3121,13045,granatula_de_calatrava/ciudad_real
3122,13046,guadalmez/ciudad_real
3124,13047,almodovar_del_campo/ciudad_real
3125,13048,hinojosas_de_calatrava/ciudad_real
3126,13049,horcajo_de_los_montes/ciudad_real
3127,13050,las_labores/ciudad_real
3128,13051,luciana/ciudad_real
3129,13052,malagon/ciudad_real
3131,13052,fuente_el_fresno/ciudad_real
3133,13053,manzanares/ciudad_real
3134,13054,membrilla/ciudad_real
3135,13055,mestanza/ciudad_real
3137,13056,corral_de_calatrava/ciudad_real
3138,13056,miguelturra/ciudad_real
3139,13057,montiel/ciudad_real
3140,13058,moral_de_calatrava/ciudad_real
3141,13059,arroba_de_los_montes/ciudad_real
3142,13060,malagon/ciudad_real
3143,13061,pedro_munoz/ciudad_real
3144,13062,ciudad_real/ciudad_real
3145,13063,piedrabuena/ciudad_real
3146,13063,ciudad_real/ciudad_real
3147,13064,ciudad_real/ciudad_real
3148,13065,anchuras/ciudad_real
3149,13065,malagon/ciudad_real
3150,13065,porzuna/ciudad_real
3152,13066,pozuelo_de_calatrava/ciudad_real
3153,13067,caracuel_de_calatrava/ciudad_real
3154,13068,puebla_de_don_rodrigo/ciudad_real
3155,13069,puebla_del_principe/ciudad_real
3156,13070,puerto_lapice/ciudad_real
3157,13071,puertollano/ciudad_real
3159,13072,malagon/ciudad_real
3160,13073,almadenejos/ciudad_real
3161,13074,san_carlos_del_valle/ciudad_real
3162,13075,calzada_de_calatrava/ciudad_real
3163,13076,santa_cruz_de_los_canamos/ciudad_real
3164,13077,santa_cruz_de_mudela/ciudad_real
3165,13078,socuellamos/ciudad_real
3166,13079,la_solana/ciudad_real
3167,13080,solana_del_pino/ciudad_real
3168,13081,terrinches/ciudad_real
3170,13082,tomelloso/ciudad_real
3171,13083,torralba_de_calatrava/ciudad_real
3172,13084,torre_de_juan_abad/ciudad_real
3173,13085,torrenueva/ciudad_real
3174,13086,valdemanco_del_esteras/ciudad_real
3175,13087,alcazar_de_san_juan/ciudad_real
3176,13087,valdepenas/ciudad_real
3177,13088,valenzuela_de_calatrava/ciudad_real
3178,13089,villahermosa/ciudad_real
3180,13090,villamanrique/ciudad_real
3181,13091,villamayor_de_calatrava/ciudad_real
3182,13092,villanueva_de_la_fuente/ciudad_real
3183,13093,villanueva_de_los_infantes/ciudad_real
3185,13094,villanueva_de_san_carlos/ciudad_real
3186,13095,villar_del_pozo/ciudad_real
3187,13096,villarrubia_de_los_ojos/ciudad_real
3188,13097,villarta_de_san_juan/ciudad_real
3189,13098,viso_del_marques/ciudad_real
3190,13098,almuradiel/ciudad_real
3192,13098,calzada_de_calatrava/ciudad_real
3193,13901,el_robledo/ciudad_real
3194,13902,ruidera/ciudad_real
3195,13903,arenales_de_san_gregorio/ciudad_real
3196,13904,llanos_del_caudillo/ciudad_real
3197,14001,adamuz/cordoba
3200,14002,aguilar_de_la_frontera/cordoba
3201,14003,alcaracejos/cordoba
3202,14004,almedinilla/cordoba
3204,14005,almodovar_del_rio/cordoba
3206,14006,anora/cordoba
3208,14007,baena/cordoba
3211,14008,belalcazar/cordoba
3213,14009,belmez/cordoba
3217,14010,benameji/cordoba
3219,14011,los_blazquez/cordoba
3220,14012,bujalance/cordoba
3223,14013,cabra/cordoba
3227,14014,canete_de_las_torres/cordoba
3228,14015,carcabuey/cordoba
3229,14015,cabra/cordoba
3232,14016,cardena/cordoba
3233,14016,belmez/cordoba
3236,14017,la_carlota/cordoba
3240,14018,el_carpio/cordoba
3242,14019,castro_del_rio/cordoba
3245,14020,conquista/cordoba
3247,14021,cordoba/cordoba
3251,14021,la_carlota/cordoba
3253,14021,belalcazar/cordoba
3255,14021,adamuz/cordoba
3275,14022,dona_mencia/cordoba
3276,14023,dos_torres/cordoba
3277,14024,encinas_reales/cordoba
3278,14025,espejo/cordoba
3279,14026,espiel/cordoba
3282,14027,fernan_nunez/cordoba
3283,14028,fuente_la_lancha/cordoba
3284,14029,belmez/cordoba
3287,14029,fuente_obejuna/cordoba
3291,14030,fuente_palmera/cordoba
3292,14030,espiel/cordoba
3297,14030,el_carpio/cordoba
3298,14031,fuente_tojar/cordoba
3299,14032,la_granjuela/cordoba
3300,14033,guadalcazar/cordoba
3301,14034,el_guijo/cordoba
3302,14035,hinojosa_del_duque/cordoba
3303,14036,baena/cordoba
3304,14036,hornachuelos/cordoba
3305,14036,belmez/cordoba
3306,14036,fuente_palmera/cordoba
3308,14037,iznajar/cordoba
3311,14037,iznajar/granada
3313,14038,lucena/cordoba
3314,14038,baena/cordoba
3317,14038,encinas_reales/cordoba
3318,14039,luque/cordoba
3321,14040,montalban_de_cordoba/cordoba
3322,14041,fernan_nunez/cordoba
3323,14041,montemayor/cordoba
3324,14042,anora/cordoba
3325,14043,montoro/cordoba
3326,14044,cabra/cordoba
3327,14045,moriles/cordoba
3329,14046,castro_del_rio/cordoba
3330,14047,cordoba/cordoba
3331,14047,obejo/cordoba
3332,14047,espiel/cordoba
3333,14048,palenciana/cordoba
3334,14049,palma_del_rio/cordoba
3335,14049,hornachuelos/cordoba
3338,14050,pedro_abad/cordoba
3339,14051,pedroche/cordoba
3340,14052,penarroya_pueblonuevo/cordoba
3341,14053,palma_del_rio/cordoba
3342,14053,posadas/cordoba
3343,14054,pozoblanco/cordoba
3344,14055,cabra/cordoba
3345,14055,priego_de_cordoba/cordoba
3346,14055,carcabuey/cordoba
3348,14055,luque/cordoba
3349,14055,fuente_tojar/cordoba
3350,14056,puente_genil/cordoba
3352,14057,la_rambla/cordoba
3353,14058,baena/cordoba
3354,14058,rute/cordoba
3355,14059,san_sebastian_de_los_ballesteros/cordoba
3356,14060,santaella/cordoba
3360,14061,santa_eufemia/cordoba
3361,14062,torrecampo/cordoba
3362,14063,valenzuela/cordoba
3363,14064,valsequillo/cordoba
3364,14065,la_victoria/cordoba
3365,14066,villa_del_rio/cordoba
3366,14066,cabra/cordoba
3368,14067,villafranca_de_cordoba/cordoba
3369,14068,espiel/cordoba
3370,14069,cardena/cordoba
3371,14070,villanueva_del_duque/cordoba
3372,14071,villanueva_del_rey/cordoba
3373,14072,villaralto/cordoba
3374,14073,villaviciosa_de_cordoba/cordoba
3375,14073,espiel/cordoba
3377,14074,villaviciosa_de_cordoba/cordoba
3378,14075,zuheros/cordoba
3379,15001,abegondo/coruna
3380,15002,ames/coruna
3386,15003,aranga/coruna
3387,15004,ares/coruna
3390,15005,a_coruna/coruna
3391,15005,arteixo/coruna
3396,15006,arzua/coruna
3399,15007,a_bana/coruna
3402,15008,bergondo/coruna
3407,15009,betanzos/coruna
3408,15009,bergondo/coruna
3409,15010,boimorto/coruna
3412,15011,boiro/coruna
3419,15012,boqueixon/coruna
3422,15013,brion/coruna
3423,15013,a_bana/coruna
3425,15014,cabana_de_bergantinos/coruna
3430,15015,cabanas/coruna
3434,15016,camarinas/coruna
3437,15017,cambre/coruna
3444,15018,a_capela/coruna
3445,15019,carballo/coruna
3452,15020,carnota/coruna
3456,15021,carral/coruna
3460,15022,cedeira/coruna
3466,15023,cee/coruna
3470,15024,cerceda/coruna
3474,15025,cerdido/coruna
3476,15026,oza_cesuras/coruna
3478,15027,coiros/coruna
3479,15028,corcubion/coruna
3481,15029,coristanco/coruna
3483,15030,a_coruna/coruna
3498,15031,culleredo/coruna
3505,15032,curtis/coruna
3507,15033,dodro/coruna
3510,15034,dumbria/coruna
3513,15035,fene/coruna
3518,15036,ferrol/coruna
3531,15037,fisterra/coruna
3534,15038,frades/coruna
3536,15039,irixoa/coruna
3537,15040,laxe/coruna
3539,15041,a_laracha/coruna
3540,15041,carballo/coruna
3542,15042,lousame/coruna
3547,15043,malpica_de_bergantinos/coruna
3550,15044,manon/coruna
3552,15045,mazaricos/coruna
3554,15046,melide/coruna
3557,15046,arzua/coruna
3558,15047,frades/coruna
3560,15047,mesia/coruna
3561,15048,mino/coruna
3565,15049,moeche/coruna
3567,15050,monfero/coruna
3571,15051,mugardos/coruna
3573,15051,fene/coruna
3574,15052,muxia/coruna
3577,15053,muros/coruna
3584,15054,naron/coruna
3592,15055,neda/coruna
3593,15055,naron/coruna
3595,15056,negreira/coruna
3597,15056,a_bana/coruna
3599,15057,noia/coruna
3600,15057,lousame/coruna
3604,15058,oleiros/coruna
3611,15059,mesia/coruna
3612,15059,ordes/coruna
3615,15059,frades/coruna
3616,15060,ordes/coruna
3617,15060,oroso/coruna
3619,15061,ortigueira/coruna
3622,15061,manon/coruna
3627,15062,outes/coruna
3634,15063,oza_cesuras/coruna
3639,15064,paderne/coruna
3640,15064,bergondo/coruna
3641,15065,padron/coruna
3647,15066,o_pino/coruna
3652,15067,a_pobra_do_caraminal/coruna
3655,15068,ponteceso/coruna
3656,15068,cabana_de_bergantinos/coruna
3657,15069,monfero/coruna
3658,15069,mino/coruna
3659,15069,pontedeume/coruna
3662,15070,as_pontes_de_garcia_rodriguez/coruna
3664,15070,boqueixon/coruna
3670,15071,porto_do_son/coruna
3677,15071,lousame/coruna
3679,15072,rianxo/coruna
3684,15073,ribeira/coruna
3693,15074,rois/coruna
3698,15074,padron/coruna
3699,15075,sada/coruna
3705,15076,san_sadurnino/coruna
3711,15077,santa_comba/coruna
3720,15078,santiago_de_compostela/coruna
3736,15078,oroso/coruna
3738,15079,santiso/coruna
3739,15080,sobrado/coruna
3745,15081,as_somozas/coruna
3749,15082,teo/coruna
3753,15083,toques/coruna
3754,15084,tordoia/coruna
3755,15084,ordes/coruna
3756,15084,mesia/coruna
3757,15085,o_pino/coruna
3759,15085,touro/coruna
3761,15086,frades/coruna
3762,15086,ordes/coruna
3763,15087,valdovino/coruna
3770,15088,val_do_dubra/coruna
3774,15089,boqueixon/coruna
3775,15089,vedra/coruna
3777,15090,vilasantar/coruna
3778,15091,vilarmaior/coruna
3782,15092,vimianzo/coruna
3785,15092,muxia/coruna
3786,15092,camarinas/coruna
3788,15093,zas/coruna
3789,15093,vimianzo/coruna
3797,15901,carino/coruna
3801,16001,abia_de_la_obispalia/cuenca
3802,16002,el_acebron/cuenca
3803,16003,alarcon/cuenca
3804,16004,albaladejo_del_cuende/cuenca
3805,16005,albalate_de_las_nogueras/cuenca
3806,16006,albendea/cuenca
3807,16007,la_alberca_de_zancara/cuenca
3808,16008,alcala_de_la_vega/cuenca
3809,16009,albendea/cuenca
3810,16010,alcazar_del_rey/cuenca
3811,16011,alcohujate/cuenca
3812,16012,alconchel_de_la_estrella/cuenca
3813,16013,algarra/cuenca
3814,16014,aliaguilla/cuenca
3815,16015,la_almarcha/cuenca
3816,16016,almendros/cuenca
3817,16017,almodovar_del_pinar/cuenca
3818,16018,almonacid_del_marquesado/cuenca
3819,16019,abia_de_la_obispalia/cuenca
3820,16019,altarejos/cuenca
3821,16020,albendea/cuenca
3822,16022,arcos_de_la_sierra/cuenca
3823,16023,chillaron_de_cuenca/cuenca
3826,16024,arguisuelas/cuenca
3827,16025,arrancacepas/cuenca
3828,16026,atalaya_del_canavate/cuenca
3829,16027,barajas_de_melo/cuenca
3831,16029,barchin_del_hoyo/cuenca
3832,16030,chillaron_de_cuenca/cuenca
3833,16031,beamud/cuenca
3834,16032,la_almarcha/cuenca
3835,16032,barajas_de_melo/cuenca
3836,16033,belmonte/cuenca
3837,16034,belmontejo/cuenca
3838,16035,beteta/cuenca
3841,16036,boniches/cuenca
3842,16038,buciegas/cuenca
3843,16039,buenache_de_alarcon/cuenca
3844,16040,buenache_de_la_sierra/cuenca
3845,16041,buendia/cuenca
3846,16042,campillo_de_altobuey/cuenca
3847,16043,boniches/cuenca
3849,16044,campillos_sierra/cuenca
3850,16045,canalejas_del_arroyo/cuenca
3851,16046,canada_del_hoyo/cuenca
3852,16047,canada_juncosa/cuenca
3853,16048,canamares/cuenca
3854,16049,el_canavate/cuenca
3855,16050,canaveras/cuenca
3856,16051,alcohujate/cuenca
3857,16052,canete/cuenca
3858,16053,canizares/cuenca
3859,16053,canamares/cuenca
3861,16055,carboneras_de_guadazaon/cuenca
3862,16056,cardenete/cuenca
3863,16057,beteta/cuenca
3864,16057,canizares/cuenca
3865,16058,carrascosa_de_haro/cuenca
3866,16060,villalgordo_del_jucar/albacete
3867,16060,casas_de_benitez/cuenca
3868,16061,casas_de_fernando_alonso/cuenca
3869,16062,algarra/cuenca
3870,16063,casas_de_guijarro/cuenca
3871,16064,casas_de_haro/cuenca
3872,16065,casas_de_los_pinos/cuenca
3873,16066,casasimarro/cuenca
3874,16068,castillejo_de_iniesta/cuenca
3875,16070,arcos_de_la_sierra/cuenca
3876,16071,castillo_albaranez/cuenca
3877,16072,castillo_de_garcimunoz/cuenca
3878,16073,cervera_del_llano/cuenca
3879,16074,canada_del_hoyo/cuenca
3880,16078,chillaron_de_cuenca/cuenca
3881,16078,cuenca/cuenca
3888,16079,beteta/cuenca
3889,16081,chumillas/cuenca
3890,16082,enguidanos/cuenca
3891,16083,fresneda_de_altarejos/cuenca
3893,16084,arcos_de_la_sierra/cuenca
3894,16085,la_frontera/cuenca
3895,16086,fuente_de_pedro_naharro/cuenca
3896,16087,fuentelespino_de_haro/cuenca
3897,16088,boniches/cuenca
3898,16089,cuenca/cuenca
3899,16091,canamares/cuenca
3900,16092,alarcon/cuenca
3901,16093,garaballa/cuenca
3902,16094,gascuena/cuenca
3903,16095,graja_de_campalbo/cuenca
3904,16096,graja_de_iniesta/cuenca
3905,16097,garaballa/cuenca
3906,16098,el_herrumblar/cuenca
3907,16099,la_hinojosa/cuenca
3908,16100,los_hinojosos/cuenca
3909,16101,el_hito/cuenca
3910,16102,honrubia/cuenca
3911,16103,hontanaya/cuenca
3912,16104,barchin_del_hoyo/cuenca
3913,16106,horcajo_de_santiago/cuenca
3914,16107,beamud/cuenca
3915,16108,huelves/cuenca
3916,16109,boniches/cuenca
3917,16110,abia_de_la_obispalia/cuenca
3918,16111,campillos_sierra/cuenca
3919,16112,gascuena/cuenca
3920,16112,huete/cuenca
3926,16113,iniesta/cuenca
3928,16113,el_herrumblar/cuenca
3929,16115,campillos_sierra/cuenca
3930,16116,lagunaseca/cuenca
3931,16117,landete/cuenca
3932,16117,graja_de_campalbo/cuenca
3933,16118,ledana/cuenca
3934,16119,leganiel/cuenca
3935,16121,las_majadas/cuenca
3936,16122,mariana/cuenca
3938,16123,lagunaseca/cuenca
3939,16124,las_mesas/cuenca
3940,16125,minglanilla/cuenca
3941,16126,mira/cuenca
3942,16128,carrascosa_de_haro/cuenca
3943,16129,montalbanejo/cuenca
3944,16130,montalbo/cuenca
3945,16131,arguisuelas/cuenca
3946,16132,altarejos/cuenca
3947,16133,mota_del_cuervo/cuenca
3948,16134,motilla_del_palancar/cuenca
3949,16137,narboneta/cuenca
3950,16139,olivares_de_jucar/cuenca
3951,16140,olmeda_de_la_cuesta/cuenca
3952,16141,chumillas/cuenca
3953,16142,barchin_del_hoyo/cuenca
3954,16143,olmedilla_de_eliz/cuenca
3955,16145,osa_de_la_vega/cuenca
3956,16146,pajaron/cuenca
3957,16147,pajaron/cuenca
3958,16148,palomares_del_campo/cuenca
3959,16149,buenache_de_la_sierra/cuenca
3960,16150,enguidanos/cuenca
3961,16150,cardenete/cuenca
3962,16151,huelves/cuenca
3963,16152,la_parra_de_las_vegas/cuenca
3964,16153,el_pedernoso/cuenca
3965,16154,las_pedroneras/cuenca
3966,16155,el_peral/cuenca
3967,16156,gascuena/cuenca
3968,16157,la_pesquera/cuenca
3969,16158,el_picazo/cuenca
3970,16159,pinarejo/cuenca
3971,16160,huete/cuenca
3972,16161,barchin_del_hoyo/cuenca
3973,16162,portalrubio_de_guadamejud/cuenca
3974,16163,arcos_de_la_sierra/cuenca
3975,16165,lagunaseca/cuenca
3976,16166,casas_de_guijarro/cuenca
3977,16167,pozorrubio_de_santiago/cuenca
3978,16169,albendea/cuenca
3979,16170,priego/cuenca
