"Título";"ENP ID";"SIDE CODE";"SITE CODE NAT";"Figura asimilable Ley de Patrimonio";"Comunidad autónoma";"Figura CCAA";"Enlace";"Primera designación";"Norma primera designación";"Año primera designación";"Norma del PORN vigente";"Año del PORN vigente";"Norma declaración vigente";"Año declaración vigente";"Norma del instrumento de gestión vigente";"Año del instrumento de gestión vigente";"Año de aprobación de PUP";"Año de aprobación de PDS";"Superficie Total";"Superficie Terrestre";"Superficie Marina";"Superficie Pública";"Registros"
"Simes del Roset";"520604";"389386";"ES521173";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Simes del Roset (2012)"
"Sima Sancho";"520549";"389496";"ES523228";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima Sancho (2012)"
"Sima Posos";"520580";"389421";"ES522170";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima Posos (2012)"
"Sima Pilar";"520550";"389495";"ES523227";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima Pilar (2012)"
"Sima Pablo Puchol";"520551";"389494";"ES523226";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima Pablo Puchol (2012)"
"Sima del Toro";"520528";"389493";"ES523225";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima del Toro (2012)"
"Sima del Puntal de Mateu";"520539";"389492";"ES523224";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima del Puntal de Mateu (2012)"
"Sima del Palmeral";"520534";"389491";"ES523223";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima del Palmeral (2012)"
"Sima del Higueral";"520533";"389490";"ES523222";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima del Higueral (2012)"
"Sima del Castell-Sima Torres";"520532";"389489";"ES523221";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima del Castell-Sima Torres (2012)"
"Sima del Campillo";"520531";"389488";"ES523220";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima del Campillo (2012)"
"Sima de las Palomas";"520529";"389486";"ES523218";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima de las Palomas (2012)"
"Sima de la Pinosa";"520579";"389420";"ES522169";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima de la Pinosa (2012)"
"Sima del Alto de Don Pedro";"520530";"389487";"ES523219";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima del Alto de Don Pedro (2012)"
"Sima de la Loma/Cueva del Fronton";"520519";"389485";"ES523217";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima de la Loma/Cueva del Fronton (2012)"
"Sima de la Llenca del Serrano";"520527";"389484";"ES523216";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima de la Llenca del Serrano (2012)"
"Sima de la Higuera";"520578";"389419";"ES522168";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima de la Higuera (2012)"
"Sima de l`Aguila";"520525";"389482";"ES523214";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima de l`Aguila (2012)"
"Sima de la Caseta de Damiano";"520535";"389483";"ES523215";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima de la Caseta de Damiano (2012)"
"Sima de Borreguillos";"520606";"389385";"ES521172";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima de Borreguillos (2012)"
"Sima Colomera";"520524";"389481";"ES523213";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima Colomera (2012)"
"Sima Blanca";"520523";"389480";"ES523212";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima Blanca (2012)"
"Sima Aldaia";"520522";"389479";"ES523211";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Sima Aldaia (2012)"
"Sierra Utrera";"430064";"555588775";"ES431027";"Otros";"Extremadura";"Lugar de Interés Científico";"www.redeuroparc.org";"";"";"";"";"";"";"2014";"";"";"";"";"14.85 ha";"14.85 ha";"";"";""
"Sierras Subbéticas";"610021";"349402";"ES613008";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"Sitio Natural de Interés Nacional";"1929 Sitio Natural de Interés Nacional Picacho de la Virgen de la Sierra de Cabra";"1929";"Decreto 4/2004, de 13 de enero. BOJA 38.";"2004";"Decreto 232/1988 de 31 de Mayo. BOJA 49 de 24/6/88.";"1988";"Decreto 4/2004, de 13 de enero. BOJA  38.";"2004";"";"2004";"";"";"";"";"Datos Sierras Subbéticas (2012)"
"Sierras de Demanda, Urbión, Cebollera y Cameros";"230007";"389271";"ES230004";"Designaciones para la Red Natura 2000";"La Rioja";"Zona de Especial Conservación de Importancia Comunitaria";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 4/2003 de 26 de marzo. BOR 39 de 1 de abril de 2003";"2003";"";"";"";"";"";"";"";"";"Datos Sierras de Demanda, Urbión, Cebollera y Cameros (2012)"
"Sierras de Cazorla, Segura y las Villas";"610013";"349404";"ES616001";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 227/1999 de 15 de noviembre. BOJA 149";"1999";"Decreto 10/1986 de 5 de Febrero. BOJA 22 15/03/ 86";"1986";"Decreto 227/1999, de 15 de noviembre. BOJA 149.";"";"";"2003";"";"";"";"";"Datos Sierras de Cazorla, Segura y las Villas (2012)"
"Sierras de Alhama, Tejeda y Almijara";"610096";"349403";"ES610009";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"ORDEN DE 6 DE JUNIO DE 2011, POR LA QUE SE PRORROGA LA VIGENCIA DE LOS PLANES RECTORES DE USO Y GESTIÓN DE LOS PARQUES NATURALES MONTES DE MÁLAGA Y SIERRA DE ARACENA Y PICOS DE AROCHE Y DEL PLAN DE ORDENACIÓN DE LOS RECURSOS NATURALES DE LAS SIERRAS DE AL";"2011";"Decreto 191/1999 de 21 de septiembre. BOJA 131 de 11 de noviembre de 1999.";"1999";"";"";"";"2006";"";"";"";"";"Datos Sierras de Alhama, Tejeda y Almijara (2012)"
"Sierra Salinas";"620017";"349406";"ES620006";"Paisaje Protegido";"Región de Murcia";"Paisaje Protegido";"www.redeuroparc.org";"0";"0";"0";"0";"";"Ley 4/1992 de 30 de julio. BORM 189 de 14 de agosto de 1992.";"1992";"";"";"";"";"";"";"";"";"Datos Sierra Salinas (2012)"
"Sierra Pelada y Ribera del Aserrador";"610082";"349436";"ES615010";"Otros";"Andalucía";"Paraje Natural";"www.redeuroparc.org";"0";"";"";"ORDEN DE 22 DE SEPTIEMBRE DE 2010, POR LA QUE SE PRORROGA LA VIGENCIA DEL PLAN DE ORDENACIÓN DE LOS RECURSOS NATURALES DEL PARAJE NATURAL DE SIERRA PELADA Y RIVERA DEL ASERRADOR, APROBADO POR DECRETO 95/2000, DE 6 DE MARZO. (BOJA 203, 18/10/2010)";"2010";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"";"";"";"";"";"";"";"";"Datos Sierra Pelada y Ribera del Aserrador (2012)"
"Sierra Norte de Sevilla";"610081";"196219";"ES618002";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 80/2004, de 24 de febrero. BOJA 81.";"1994";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 80/2004, de 24 de febrero. BOJA 81.";"2004";"2005";"2003";"";"";"";"";"Datos Sierra Norte de Sevilla (2012)"
"Sierra Norte de Guadarrama";"410026";"555545976";"ES416003";"Parque Natural";"Castilla y León";"Parque Natural";"www.redeuroparc.org";"0";"0";"0";"Decreto 4/2010, de 14 de enero. BOCYL 20-01-2010.";"2010";"Ley 18/2010, de 20 de diciembre. BOCyL 244 de 21 de diciembre de 2010";"2010";"0";"0";"0";"0";"";"";"";"";"Datos Sierra Norte de Guadarrama (2012)"
"Sierra Norte de Guadalajara";"420109";"555545971";"ES424016";"Parque Natural";"Castilla-La Mancha";"Parque Natural";"www.redeuroparc.org";"0";"Real Decreto 3158/1978, de 10 de noviembre.";"1978";"Decreto 215/2010, de 28 de septiembre. DOCM 193 de 5 de octubre";"2010";"Ley 5/2011, de 10 de marzo. DOCM 56 de 22 de marzo";"2011";"";"";"";"";"";"";"";"";"Datos Sierra Norte de Guadalajara (2012)"
"Sierra Nevada";"610080";"349467";"ES610001";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"DECRETO 238/2011, DE 22 DE JULIO, POR EL QUE SE ESTABLECE LA ORDENACIÓN Y GESTIÓN DE SIERRA NEVADA. (BOJA 155, 09/08/2011)]";"2011";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"DECRETO 238/2011, DE 22 DE JULIO, POR EL QUE SE ESTABLECE LA ORDENACIÓN Y GESTIÓN DE SIERRA NEVADA. (BOJA 155, 09/08/2011)";"2011";"";"2004";"";"";"";"";"Datos Sierra Nevada (2012)"
"Sierra Nevada";"12";"389011";"ES6110002";"Parque Nacional";"Andalucía";"Parque Nacional";"www.redeuroparc.org";"0";"";"";"DECRETO 238/2011, DE 22 DE JULIO, POR EL QUE SE ESTABLECE LA ORDENACIÓN Y GESTIÓN DE SIERRA NEVADA. (BOJA 155, 09/08/2011)";"2011";"Ley 3/1999 de 11 de enero. BOE 11, 13 de enero de 1999.";"1999";"DECRETO 238/2011, DE 22 DE JULIO, POR EL QUE SE ESTABLECE LA ORDENACIÓN Y GESTIÓN DE SIERRA NEVADA. (BOJA 155, 09/08/2011)";"2011";"";"2004";"85883.00 ha";"85883.00 ha";"";"";"Datos Sierra Nevada (2012)"
"Sierra Mariola";"520014";"349418";"ES520003";"Parque Natural";"Comunidad Valenciana";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 76/2001, de 2 de abril. DOGV 3978.";"2001";"Decreto 3/2002 de 8 de enero. DOGV 4167 de 14 de enero de 2002";"2002";"Decreto 79/2007, de 25 de mayo. Doc 5523 de 30,05,2007";"2007";"";"";"";"";"";"";"Datos Sierra Mariola (2012)"
"Sierra Mágina";"610079";"71203";"ES616007";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 57/2004, de 17 de febrero. BOJA 71.";"2004";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 57/2004, de 17 de febrero. BOJA 71.";"2004";"2005";"2001";"";"";"";"";"Datos Sierra Mágina (2012)"
"Sierra Grande de Hornachos";"430010";"349450";"ES431004";"Designaciones para la Red Natura 2000";"Extremadura";"Zona de Interés Regional";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 8/1998 de 26 de junio. DOE 86. (28/06/1998)";"1998";"";"";"";"";"";"";"";"";"Datos Sierra Grande de Hornachos (2012)"
"Sierra Espuña";"620016";"4745";"ES620013";"Parque Natural";"Región de Murcia";"Parque Regional";"www.redeuroparc.org";"Sitio Natural de Interés Nacional";"Real Orden del Ministerio de Fomento de 7 de abril de 1931 (Gaceta de Madrid del 10 de abril de 1931) declarando Sitios Naturales de Interés Nacional a la Sierra de Espuña y el Monte de El Valle, en la provincia de Murcia";"1931";"Decreto 13/1995, de 31 de marzo. BORM 85.";"1995";"Ley 4/1992 de 30 de julio. BORM 189 de 14 de agosto de 1992.";"1992";"";"";"";"";"";"";"";"";"Datos Sierra Espuña (2012)"
"Sierra Espadà /Espadán";"520013";"349451";"ES522007";"Parque Natural";"Comunidad Valenciana";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decret 218/1997, de 31 de julio. DOGV 3075.";"1997";"Decreto 161/1998 de 29 de septiembre. DOGV 3347 de 08 de octubre de 1998";"1998";"Decreto 59/2005, de 11 de marzo. DOGV 4969.";"2005";"";"";"";"";"";"";"Datos Sierra Espadà /Espadán (2012)"
"Sierra de Santo Domingo";"243004";"555588761";"ES243004";"Paisaje Protegido";"Aragón";"Paisaje Protegido";"www.redeuroparc.org";"2015";"";"";"";"";"";"";"";"";"";"";"9678.00 ha";"9678.00 ha";"";"";""
"Sierra de San Pedro";"430009";"349452";"ES430001";"Designaciones para la Red Natura 2000";"Extremadura";"Zona de Interés Regional";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 8/1998 de 26 de junio. DOE 86. (28/06/1998)";"1998";"orden de 2 de octubre de 2009. DOE 200, 16 de octubre.";"2009";"";"";"";"";"";"";"Datos Sierra de San Pedro (2012)"
"Sierra de Pela y Laguna de Somolinos";"420038";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 161/2002, de 12 de diciembre. DOCM 157.";"2002";"Decreto 161/2002 de 12 de noviembre. DOCM 157 de 18 de diciembre de 2002";"2002";"";"";"";"";"";"";"";"";"Datos Sierra de Pela y Laguna de Somolinos (2012)"
"Sierra de María-Los Vélez";"610019";"20932";"ES611002";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"Decreto 236/1987 de 30 de Septiembre. BOJA 85 de 16/10/1987.";"1987";"Decreto 191/2005, de 6 de septiembre.";"2005";"Ley 2/ 89, de 18 de julio. BOJA nº 65";"1989";"Decreto 191/2005, de 6 de septiembre.";"2005";"2005";"2006";"";"";"";"";"Datos Sierra de María-Los Vélez (2012)"
"Sierra de los Olivos";"430066";"555588774";"ES431026";"Otros";"Extremadura";"Lugar de Interés Científico";"www.redeuroparc.org";"";"";"";"";"";"";"2014";"";"";"";"";"53.09 ha";"53.09 ha";"";"";""
"Sierra del Cordel y Minas de Burguillos del Cerro";"430088";"";"";"Otros";"Extremadura";"Lugar de Interés Científico";"www.redeuroparc.org";"2017";"DECRETO 17/2017, de 14 de febrero, por el que se declara el Lugar de Interés Científico &quot;Sierra del Cordel y Minas de Burguillos del Cerro&quot;";"";"";"";"DECRETO 17/2017, de 14 de febrero, por el que se declara el Lugar de Interés Científico &quot;Sierra del Cordel y Minas de Burguillos del Cerro&quot;";"2017";"";"";"";"";"63.75 ha";"63.75 ha";"";"";""
"Sierra de las Nieves";"610078";"15761";"ES617008";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 344/2003, de 9 de diciembre. BOJA 14.";"2003";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 344/2003, de 9 de diciembre. BOJA 14.";"2003";"2004";"2003";"";"";"";"";"Datos Sierra de las Nieves (2012)"
"Sierra de Las Moreras";"620015";"349454";"ES620005";"Paisaje Protegido";"Región de Murcia";"Paisaje Protegido";"www.redeuroparc.org";"0";"0";"0";"0";"";"Ley 4/1992 de 30 de julio. BORM 189 de 14 de agosto de 1992.";"1992";"";"";"";"";"";"";"";"";"Datos Sierra de Las Moreras (2012)"
"Sierra de las Cabras";"420079";"349455";"ES421015";"Reserva Natural";"Castilla-La Mancha";"Reserva Natural";"www.redeuroparc.org";"0";"";"";"Decreto 32/2005, de 29 de marzo. DOCM 66.";"2005";"Decreto 32/2005 de 29 de marzo. DOCM 66 de 1 de abril de 2005.";"2005";"";"";"";"";"";"";"";"";"Datos Sierra de las Cabras (2012)"
"Sierra de las Águilas y San Pascual";"520436";"0";"0";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Decreto 29/2012, de 3 de febrero. DOCV 6708 07/02/2012.";"2012";"Decreto 29/2012, de 3 de febrero. DOCV 6708 07/02/2012.";"2012";"0";"0";"";"";"";"";"Datos Sierra de las Águilas y San Pascual (2012)"
"Sierra de La Pila";"620014";"71230";"ES620018";"Parque Natural";"Región de Murcia";"Parque Regional";"www.redeuroparc.org";"0";"0";"0";"Decreto 43/2004, de 14 de mayo. BORM 130.";"2004";"Ley 4/1992 de 30 de julio. BORM 189 de 14 de agosto de 1992.";"1992";"";"";"";"";"";"";"";"";"Datos Sierra de La Pila (2012)"
"Sierra de Irta";"520021";"349456";"ES522044";"Parque Natural";"Comunidad Valenciana";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 78/2001, de 2 de abril. DOGV 3979.";"2001";"Decreto 108/2002, de 16 de julio. DOGV 4298 de 23 de julio de 2002";"2002";"Decreto 4/2007, de 12 de enero. DOC 5431 de 18,01,2007";"2007";"";"";"";"";"";"";"Datos Sierra de Irta (2012)"
"Sierra de Huétor";"610077";"20947";"ES614004";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 100/2004, de 9 de marzo. BOJA nº 69.";"2004";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 100/2004, de 9 de marzo. BOJA  69.";"2004";"2005";"2006";"";"";"";"";"Datos Sierra de Huétor (2012)"
"Sierra de Hornachuelos";"610076";"20943";"ES613007";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 252/2003, de 9 de septiembre. BOJA 213.";"2003";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 252/2003, de 9 de septiembre BOJA 213.";"2003";"2005";"2006";"";"";"";"";"Datos Sierra de Hornachuelos (2012)"
"Sierra de Guadarrama";"15";"555546231";"ES802001";"Parque Nacional";"Castilla y León y Comunidad de Madrid";"Parque Nacional";"www.redeuroparc.org";"0";"0";"2013";"Decreto 4/2010, de 14 de enero. BOCYL 20-01-2010.";"2010";"Ley 7/2013, de 25 de junio. BOE 152. Miércoles 26 de junio de 2013.";"2013";"0";"0";"0";"0";"33959.87 ha";"33959.87 ha";"";"";"Datos Sierra de Guadarrama (2012)"
"Sierra de Gredos";"410004";"142950";"ES411001";"Parque Natural";"Castilla y León";"Parque Regional";"www.redeuroparc.org";"0";"";"";"Decreto 36/1995, de 23 de febrero. BOCYL  42 142.";"1995";"Ley 3/1996 de 20 de junio. BOCYL 124 de 28 de junio de 1996";"1996";"";"";"";"";"";"";"";"";"Datos Sierra de Gredos (2012)"
"Sierra de Grazalema";"610012";"349468";"ES610003";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 90/2006, de 18 de abril .";"2006";"Decreto 316/84, de 18 de Diciembre. BOJA 12/2/85.";"1985";"DECRETO 90/2006, DE 18 DE ABRIL, POR EL QUE SE APRUEBAN EL PLAN DE ORDENACIÓN DE LOS RECURSOS NATURALES Y EL PLAN RECTOR DE USO Y GESTIÓN DEL PARQUE NATURAL SIERRA DE GRAZALEMA. (BOJA 114, 15/06/2006).";"2006";"0";"2006";"";"";"";"";"Datos Sierra de Grazalema (2012)"
"Sierra de Gracia";"610091";"349458";"ES617012";"Otros";"Andalucía";"Parque Periurbano";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 9 de abril de 1999. BOJA nº 73 de 26 de junio.";"1999";"";"";"";"";"";"";"";"";"Datos Sierra de Gracia (2012)"
"Sierra de El Carche";"620019";"349448";"ES620017";"Parque Natural";"Región de Murcia";"Parque Regional";"www.redeuroparc.org";"Espacio Natural Protegido";"Ley 4/1992 de 30 de julio. BORM 189 de 14 de agosto de 1992.";"1992";"Decreto 69/2002, de 22 de marzo. BORM 86.";"2002";"Ley 2/2003 de 28 de marzo. BORM 86 de 14 de abril de 2003";"2003";"";"";"";"";"";"";"";"";"Datos Sierra de El Carche (2012)"
"Sierra de Chiva";"520414";"555546030";"ES523002";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"";"";"0";"0";"Decreto 108/2010, de 9 de julio de 2010. DOCV 6309";"2010";"Decreto 108/2010, de 9 de julio de 2010. DOCV 6309";"2010";"0";"0";"";"";"";"";"Datos Sierra de Chiva (2012)"
"Sierra de Cebollera";"230001";"106780";"ES230001";"Parque Natural";"La Rioja";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 65/1994, de 17 de noviembre. BOR 147, 1 de diciembre de 1994.";"1994";"Ley 4/1995 de 20 de marzo. BOR 37 de 28 de marzo de 1995.";"1995";"Decreto 35/2000, de 30 de junio. BOR 84, de 5 de julio de 2000.";"2000";"2010";"";"";"";"";"";"Datos Sierra de Cebollera (2012)"
"Sierra de Castril";"610075";"20946";"ES614003";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 98/2005 de 11 de abril.";"2005";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 95/2005, de 11 de abril.";"2005";"2005";"2005";"";"";"";"";"Datos Sierra de Castril (2012)"
"Sierra de Cardeña y Montoro";"610074";"196229";"ES613009";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 251/2003, de 9 de septiembre. BOJA 213.";"2003";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 251/2003, de 9 de septiembre BOJA 213.";"2003";"2005";"2005";"";"";"";"";"Datos Sierra de Cardeña y Montoro (2012)"
"Sierra de Caldereros";"420087";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 187/2005 de 05 de diciembre. DOCM 248 de 9 de diciembre de 2005.";"2005";"";"";"";"";"";"";"";"";"Datos Sierra de Caldereros (2012)"
"Sierra de Bernia y Ferrer";"520051";"389042";"ES521109";"Paisaje Protegido";"Comunidad Valenciana";"Paisaje Protegido";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 103/2006, de 14 de julio, del Consell, de declaración del Paisaje Protegido de Sierra de Bernia y Ferrer. DOCV 5305 de 18 de julio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos Sierra de Bernia y Ferrer (2012)"
"Sierra de Baza";"610073";"349461";"ES614002";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 101/2004, de 9 de marzo. BOJA 78.";"2004";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 101/2004, de 9 de marzo BOJA 78.";"2004";"2005";"2006";"";"";"";"";"Datos Sierra de Baza (2012)"
"Sierra de Arrigorrieta y Ezkaurre";"220161";"0";"ES0000130";"Designaciones para la Red Natura 2000";"Comunidad Foral de Navarra";"Zona Especial de Conservación";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Decreto Foral 242/2011, de 14 de diciembre. BON 20 del 30 de enero de 2012.";"2012";"0";"0";"0";"0";"";"";"";"";"Datos Sierra de Arrigorrieta y Ezkaurre (2012)"
"Sierra de Aracena y Picos de Aroche";"610072";"20938";"ES615011";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 210/2003, de 15 de julio. BOJA 165.";"1994";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 210/2003, de 15 de julio. BOJA 165.";"2003";"2004";"2004";"";"";"";"";"Datos Sierra de Aracena y Picos de Aroche (2012)"
"Sierra de Andújar";"610071";"196160";"ES616006";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 354/2003, de 16 de diciembre.";"2003";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 354/2003, de 16 de diciembre. BOJA 24.";"2003";"2005";"2006";"";"";"";"";"Datos Sierra de Andújar (2012)"
"Sierra de Ancares";"410005";"0";"0";"Otros";"Castilla y León";"Régimen de Protección Preventiva";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 133/1990 de 12 de julio. BOCYL 137 de 17 de julio de 1990";"1990";"";"";"";"";"";"";"";"";"Datos Sierra de Ancares (2012)"
"Sierra de Alcarama y Valle del Alhama";"230006";"389273";"ES230006";"Designaciones para la Red Natura 2000";"La Rioja";"Zona de Especial Conservación de Importancia Comunitaria";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 4/2003 de 26 de marzo. BOR 39 de 1 de abril de 2003";"2003";"";"";"";"";"";"";"";"";"Datos Sierra de Alcarama y Valle del Alhama (2012)"
"Sierra Crestellina";"610070";"349463";"ES617006";"Otros";"Andalucía";"Paraje Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"";"";"";"";"";"";"";"";"Datos Sierra Crestellina (2012)"
"Sierra Calderona";"520015";"349464";"ES520002";"Parque Natural";"Comunidad Valenciana";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 77/2001, de 2 de abril. DOGV 4172. De 17,04,2001";"2001";"Decreto 10/2002 de 15 de enero. DOGV 4172 de 21 de enero de 2002";"2002";"Decreto 46/2006, de 31 de marzo. DOC 5233 de 04,04,2006";"2006";"2010";"";"";"";"";"";"Datos Sierra Calderona (2012)"
"Sierra Alhamilla";"610069";"20935";"ES611005";"Otros";"Andalucía";"Paraje Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"";"";"";"";"";"";"";"";"Datos Sierra Alhamilla (2012)"
